Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
ALTRI TEST - BENDAGGIO FUNZIONALE,ACBF14,Per tenere a mente gli obiettivi del vostro bendaggio in maniera efficace:,Va ricordato l'acronimo T.A.R.T.,Va Ricordato l'acronimo R.I.C.E.,Va ricordato l'acronimo S.U.P.P.O.R.T.,Va ricordato l'acronimo S.U.P.P.O.S.T.,Va ricordato l'acronimo S.U.P.P.O.R.T.
ALTRI TEST - BENDAGGIO FUNZIONALE,ACBF15,Prima di applicare il bendaggio:,E′ sconsigliato spiegare al paziente il motivo del bendaggio,E′ consigliato chiedere al paziente se gli è mai stato applicato il bendaggio funzionale,Non ha senso informare il paziente e chiedere il suo consenso all'esecuzione del bendaggio funzionale,E′ obbligatorio far firmare al paziente un consenso informato specifico per il bendaggio funzionale,E′ consigliato chiedere al paziente se gli è mai stato applicato il bendaggio funzionale
ALTRI TEST - BENDAGGIO FUNZIONALE,ACBF16,Quale affermazione è inesatta:,Prima di applicare il bendaggio funzionale è necessario avere il materiale adatto a portata di mano,Non bisogna mai applicare il bendaggio senza una ragione,E' necessario conoscere le norme dello sport in questione,Il bendaggio può sostituire la terapia,Il bendaggio può sostituire la terapia
ALTRI TEST - BENDAGGIO FUNZIONALE,ACBF17,Quale non è considerato un obiettivo del bendaggio funzionale?,Sostenere il distretto lesionato,Accelerare il processo riparativo e il recupero,Permettere una ripresa sicura dell'attività,Aumentare il dolore,Aumentare il dolore
ALTRI TEST - BENDAGGIO FUNZIONALE,ACBF18,Quale non è uno scopo del bendaggio funzionale?,Il sollievo del dolore,Rallentare la fase di guarigione,Il miglioramento della performance sportiva,Coadiuvare nel percorso di riabilitazione,Rallentare la fase di guarigione
ALTRI TEST - BIOLOGIA,ACBI1,Come devono essere i risultati di un test sierologico per indicare che la malattia c'è stata ma molto tempo fa?,IgM+ e IgG-,IgM+ e IgG+,IgM- e IgG-,IgM- e IgG+,IgM- e IgG+
ALTRI TEST - BIOLOGIA,ACBI2,Cosa è la biochimica,la branca della chimica che studia le reazioni chimiche complesse che danno origine alla vita di materia,materia a metà tra chimica e biologia,entrambi,,la branca della chimica che studia le reazioni chimiche complesse che danno origine alla vita di materia
ALTRI TEST - BIOLOGIA,ACBI3,Cosa è la biologia,è la branca della medicina che studia le reazioni chimiche complesse che danno origine alla vita,è la scienza che studia la vita ovvero i processi fisici e chimici dei fenomeni che caratterizzano i sistemi viventi,lo studio scientifico delle funzioni vitali degli organismi viventi,,è la scienza che studia la vita ovvero i processi fisici e chimici dei fenomeni che caratterizzano i sistemi viventi
ALTRI TEST - BIOLOGIA,ACBI4,Dove produciamo il 90% della serotonina,nel cervello,nell'intestino,nel midollo spinale,,nell'intestino
ALTRI TEST - BIOLOGIA,ACBI5,finalità dell'assunzione di antibiotici,impedire il proliferare dei patogeni e lo sviluppo di malattie infettive,farmaco per favorire la fuoriuscita del materiale fecale,nessuna delle precedenti,,impedire il proliferare dei patogeni e lo sviluppo di malattie infettive
ALTRI TEST - BIOLOGIA,ACBI6,I virus,vengono considerati esseri viventi,sono entità biologiche,sono organismi unicellulari,,sono entità biologiche
ALTRI TEST - BIOLOGIA,ACBI7,L'atomo,è compreso e composto da particelle elementari piccolissime protoni neutroni ed elettroni,composto da particelle elementari piccolissime protoni ed elettroni,nessuna delle precedenti,,è compreso e composto da particelle elementari piccolissime protoni neutroni ed elettroni
ALTRI TEST - BIOLOGIA,ACBI8,L'atomo è vuoto per il:,97% e 3 di materia,70% e 30 di materia,95% e 5 di materia,,97% e 3 di materia
ALTRI TEST - BIOLOGIA,ACBI9,L'infezione,è un processo causato dall'ingresso e dalla moltiplicazione di microrganismi nei tessuti di un ospite,è un processo causato dall'ingresso di microrganismi nei tessuti di un ospite,nessuna delle due,,è un processo causato dall'ingresso e dalla moltiplicazione di microrganismi nei tessuti di un ospite
ALTRI TEST - BIOLOGIA,ACBI10,La candida è una micosi:,Superficiale,Cutanea,Sub cutanea,Sistemica dovuta patogeni opportunisti,Sistemica dovuta patogeni opportunisti
ALTRI TEST - BIOLOGIA,ACBI11,La cellula,è la più piccola unità che non presenta le proprietà tipiche della vitamina,è un'unità indivisibile,è la più piccola unità che presenta le proprietà tipiche della vita,,è la più piccola unità che presenta le proprietà tipiche della vita
ALTRI TEST - BIOLOGIA,ACBI12,La glicolisi,glicolisi fotosintesi fosforilazione ossidativa,glicolisi ciclo di Krebs fosforilazione ossidativa,glicolisi ciclo di Krebs fotosintesi,,glicolisi ciclo di Krebs fosforilazione ossidativa
ALTRI TEST - BIOLOGIA,ACBI13,La medicina quantistica si occupa di: (VERIFICARE se B),malattia,benessere,entrambe le risposte precedenti,,entrambe le risposte precedenti
ALTRI TEST - BIOLOGIA,ACBI14,Le spore sono create da:,Batteri,Virus,Funghi,Parassiti,Batteri
ALTRI TEST - BIOLOGIA,ACBI15,Leggi di Mendel,legge di dominanza e legge della segregazione,legge della dominanza legge della segregazione e legge dell'assortimento indipendente,nessuna delle due,,legge della dominanza legge della segregazione e legge dell'assortimento indipendente
ALTRI TEST - BIOLOGIA,ACBI16,Metabolismo cellulare,è un insieme di reazioni che avvengono nell'organismo,è un insieme di reazioni chimiche che avvengono all'interno della cellula,è un insieme di reazioni biochimiche che avvengono all'interno della cellula,,è un insieme di reazioni biochimiche che avvengono all'interno della cellula
ALTRI TEST - BIOLOGIA,ACBI17,Modalità di contagio verticale significa attraverso:,Rapporti sessuali,Scambio di sangue infetto,La saliva,La placenta della madre al feto,La placenta della madre al feto
ALTRI TEST - BIOLOGIA,ACBI18,Quali sono i microrganismi più resistenti ai normali mezzi di disinfezione e sterilizzazione?,Batteri,Virus,Funghi,Prioni,Prioni
ALTRI TEST - BIOLOGIA,ACBI19,Virulenza,capacità dei microrganismi di entrare e diffondersi nell'organismo ospite,capacità da parte di particolari microrganismi patogeni di provocare nell'organismo che li ospita manifestazioni patologiche di varia entità,capacità di sopravvivere nell'ambiente,,capacità da parte di particolari microrganismi patogeni di provocare nell'organismo che li ospita manifestazioni patologiche di varia entità
ALTRI TEST - BIORISONANZA ED EPIGENETICA,ACBP1,La fisica ha dimostrato che il rapporto tra massa ed energia è:,da 1 a 100.000,da 1 a 1 miliardo,da 1 a 10 miliardi,,da 1 a 1 miliardo
ALTRI TEST - BIORISONANZA ED EPIGENETICA,ACBP2,La medicina quantistica si occupa di:,malattia,benessere,entrambe le risposte precedenti,,entrambe le risposte precedenti
ALTRI TEST - BIORISONANZA ED EPIGENETICA,ACBP3,Qual è la particella più piccola dell'atomo,quanto,,,,quanto
ALTRI TEST - BIORISONANZA ED EPIGENETICA,ACBP4,Quando parliamo di medicina quantistica parliamo di,medicina olistica e sistemica,informazionale,entrambe le risposte,,entrambe le risposte
ALTRI TEST - DIRITTO,ACDI1,A cosa serve il consenso informato?,Ad informare il cliente rappresentandogli i rischi connessi allo specifico trattamento,raccogliere i dati personali dell'utente,sono corrette entrambe le risposte precedenti,nessuna risposta è corretta,Ad informare il cliente rappresentandogli i rischi connessi allo specifico trattamento
ALTRI TEST - DIRITTO,ACDI2,Che reato prevede e punisce l'articolo 348 C.p.?,attività di impresa illecita,esercizio abusivo di una professione,esercizio abusivo di un'attività di impresa,nessuna risposta correttamente,esercizio abusivo di una professione
ALTRI TEST - DIRITTO,ACDI3,Cosa afferma articolo 32 della Costituzione,Tutela la salute come diritto dell'individuo e della collettività,Diritto al mantenimento in caso di infortunio,Il diritto del lavoratore di un ambiente che tuteli la salute,,Tutela la salute come diritto dell'individuo e della collettività
ALTRI TEST - DIRITTO,ACDI4,Cosa si intende per lavoratore subordinato,colui che presta il suo lavoro manuale intellettuale al datore di lavoro,colui che si obbliga mediante retribuzione a collaborare nell'impresa prestando il proprio lavoro intellettuale o manuale alle dipendenze e sotto la direzione dell'imprenditore,il lavoratore che obbedisce al datore di lavoro secondo i principi dell'obbedienza e della fedeltà,,colui che si obbliga mediante retribuzione a collaborare nell'impresa prestando il proprio lavoro intellettuale o manuale alle dipendenze e sotto la direzione dell'imprenditore
ALTRI TEST - DIRITTO,ACDI5,E' detraibile per il cliente dell'MCB la fattura per il massaggio igienico?,Sempre,mai,solo se c'è ricetta medica,tutte le risposte sono corrette,mai
ALTRI TEST - DIRITTO,ACDI6,I presupposti essenziali di compravendita immobiliare,Accordo causa oggetto capacità di agire,Accordo causa oggetto forma scritta (forma minima),Accordo causa oggetto atto notarile,Accordo causa oggetto condizione,Accordo causa oggetto forma scritta (forma minima)
ALTRI TEST - DIRITTO,ACDI7,In che modo la Costituzione italiana tutela la salute?,Nella C. Non è tutelata la salute,La Costituzione all'art. 32 riconosce... e anche agli indigenti,La C. Tutela la salute come diritto dell'individuo,La C. Tutela la salute come diritto fondamentale solo nelle persone portatrici di handicap,La Costituzione all'art. 32 riconosce... e anche agli indigenti
ALTRI TEST - DIRITTO,ACDI8,L'art. 38 della Costituzione stabilisce:,Il riconoscimento del diritto di mantenimento e dell'assistenza sociale della persona inabile al lavoro e sprovvista di mezzi necessari per vivere,La legge è uguale per tutti i cittadini,La libertà di movimento delle persone,L'inviolabilità e la segretezza della corrispondenza,Il riconoscimento del diritto di mantenimento e dell'assistenza sociale della persona inabile al lavoro e sprovvista di mezzi necessari per vivere
ALTRI TEST - DIRITTO,ACDI9,L'articolo 3 della Costituzione italiana afferma il principio di uguaglianza come:,Diritto di tutti i cittadini di essere considerati uguali davanti alla legge,Diritto di tutti i cittadini di essere considerati formalmente uguali,Diritto di uguaglianza sostanziale e formale di tutti i cittadini davanti alla legge,,Diritto di uguaglianza sostanziale e formale di tutti i cittadini davanti alla legge
ALTRI TEST - DIRITTO,ACDI10,L'articolo 36 della Costituzione afferma che:,Il lavoratore ha diritto alle ferie,Il lavoratore ha diritto al riposo settimanale,Il lavoratore ha diritto ad essere retribuito in proporzione alla qualità e quantità di lavoro svolto,,Il lavoratore ha diritto ad essere retribuito in proporzione alla qualità e quantità di lavoro svolto
ALTRI TEST - DIRITTO,ACDI11,L'attività di MCB può essere svolta,Solo su soggetti sani,Solo su soggetti con patologie neurologiche,Su soggetti sani e dietro prescrizione medica su soggetti non sani,In ambito sanitario qualunque sia la problematica indipendentemente dalla prescrizione medica,Su soggetti sani e dietro prescrizione medica su soggetti non sani
ALTRI TEST - DIRITTO,ACDI12,La capacità di stipulare un contratto valido di locazione si acquista:,Alla nascita,Quando si inizia a lavorare,Al compimento della maggiore età,Quando il giudice tutelare ci autorizza,Al compimento della maggiore età
ALTRI TEST - DIRITTO,ACDI13,La legge regionale o dello Stato sono fonti di cognizione o produzione?,Produzione,,,,Produzione
ALTRI TEST - DIRITTO,ACDI14,MCB abusivo:,Non ha superato l'esame,non ha diploma/attestato,,,non ha diploma/attestato
ALTRI TEST - DIRITTO,ACDI15,Qual è il Regolamento attuativo della legge dello Stato che ha istituito la figura dell'MCB,Regio decreto 1334 1928,Regio decreto 1265 1934,Regio decreto 1310 1940,,Regio decreto 1334 1928
ALTRI TEST - DIRITTO,ACDI16,Qual è la legge dello Stato che ha istituito figura MCB,Regio Decreto 1310 del 1940,Regio Decreto 1265 del 1934,Regio decreto 1334 del 1928,La legge 1264 del 1927,La legge 1264 del 1927
ALTRI TEST - DIRITTO,ACDI17,Qual è la norma che prevede l'esenzione da IVA della prestazione dell'MCB in ambito sanitario?,D.P.R. 633/1972 Art. 10 comma 1 n. 18,D.P.R. 225/2018 Art. 3 comma 2,Regio Decreto 1334/1928,nessuna risposta è corretta,D.P.R. 633/1972 Art. 10 comma 1 n. 18
ALTRI TEST - DIRITTO,ACDI18,Quali sono le fonti di rango primario di produzione del diritto?,leggi ordinarie dello Stato Costituzione Referendum abrogativo Decreto legge,decreto legislativo D.L. leggi ordinarie L.R. etc.,Costituzione leggi ordinarie decreti legge decreti legislativi,Costituzione regolamenti governativi regolamenti dell'Unione Europea,Costituzione leggi ordinarie decreti legge decreti legislativi
ALTRI TEST - DIRITTO,ACDI19,Quali sono le mansioni dell'MCB?,Mansioni wellness con ricetta medica,mansioni di massaggi terapeutici senza ricetta medica,trattamenti wellness in autonomia senza prescrizione medica e massaggi terapeutici dietro prescrizione medica,nessuna risposta è corretta,trattamenti wellness in autonomia senza prescrizione medica e massaggi terapeutici dietro prescrizione medica
ALTRI TEST - DIRITTO,ACDI20,Quando è stata istituita la legge che riconosce MCB,1264 1927,Regio decreto 1334 1928,Regio decreto 1265 1934,Regio decreto 1310 1940,1264 1927
ALTRI TEST - FISIOLOGIA,ACFI1,Cosa è la gittata cardiaca:,volume di sangue espulso per ogni sistole,numero di battiti nell'unità di tempo,quantità di sangue pompata dal cuore al minuto,non la si può definire ma si è stabilito che corrisponda a circa 10l/min,quantità di sangue pompata dal cuore al minuto
ALTRI TEST - FISIOLOGIA,ACFI2,Gli alveoli:,possiedono delle pareti elastiche,sono collocabili in corrispondenza del pomo d'Adamo,Sono formati da cartilagine ialina,Fanno parte dell'apparato digerente,possiedono delle pareti elastiche
ALTRI TEST - FISIOLOGIA,ACFI3,Gli organi che eseguono la risposta sulla coordinazione degli stimoli provenienti dall'esterno si chiamano?,Organi effettori,Organi afferenti,Organi efferenti,,Organi effettori
ALTRI TEST - FISIOLOGIA,ACFI4,I linfociti T sono:,Difese immunitarie aspecifiche,Difese immunitarie specifiche,,,Difese immunitarie specifiche
ALTRI TEST - FISIOLOGIA,ACFI5,I neuroni sono:,Cellule dalla forma omogenea ove non si distingue nessuna parte funzionale di risalto,Cellule costituite da corpo cellulare dendrite e assone,Cellule costituite da reticolo sarcoplasmatico actina e miosina,,Cellule costituite da corpo cellulare dendrite e assone
ALTRI TEST - FISIOLOGIA,ACFI6,Il cuore è suddiviso in:,due atri e due ventricoli,un atrio e un ventricolo,cavità dinamiche ma senza un ordine fisso,,due atri e due ventricoli
ALTRI TEST - FISIOLOGIA,ACFI7,Il cuore è:,una pompa contrattile,un organo non eccitabile,nessuna delle precedenti,,una pompa contrattile
ALTRI TEST - FISIOLOGIA,ACFI8,Il modello della membrana citoplasmatica associata e canali ionici:,Ricorda il circuito Resistenza condensatore,Ricorda una impalcatura biologica,Ricorda solo un processo osmotico,,Ricorda il circuito Resistenza condensatore
ALTRI TEST - FISIOLOGIA,ACFI9,Il neurone è costituito da,dendrite pirenoforo neurone,condrociti pirenoforo neurite,dendrite pirenoforo nevroglia,dendrite pirenoforo assone,dendrite pirenoforo assone
ALTRI TEST - FISIOLOGIA,ACFI10,Il potenziale di riposo è:,Il potenziale di un individuo deceduto,Il potenziale di membrana quando non passa un impulso elettrico,Il potenziale d'azione,,Il potenziale di membrana quando non passa un impulso elettrico
ALTRI TEST - FISIOLOGIA,ACFI11,Il ruolo della pompa sodio potassio ATPasi è:,Ripristinare il gradiente ionico,Accelerare impulsi nervosi,Depolarizzare la cellula,,Ripristinare il gradiente ionico
ALTRI TEST - FISIOLOGIA,ACFI12,Il sangue che si immette nell'atrio sinistro:,è sangue ossigenato proveniente dalla periferia del corpo,è sangue ricco di anidride carbonica proveniente dalla periferia del corpo,non è sangue ossigenato proveniente dalla periferia del corpo,è sangue ossigenato proveniente dalle vene polmonari,è sangue ossigenato proveniente dalle vene polmonari
ALTRI TEST - FISIOLOGIA,ACFI13,Il sistema dei vasi ha come funzione:,solo la depurazione della detossificazione,una funzionalità mirata all'assorbimento delle sostanze,il trasporto di tutte le sostanze importanti per il nostro organismo,,il trasporto di tutte le sostanze importanti per il nostro organismo
ALTRI TEST - FISIOLOGIA,ACFI14,Il sistema nervoso periferico consta di:,Cervello e midollo spinale,Nervi e gangli,Muscoli e ossa,,Nervi e gangli
ALTRI TEST - FISIOLOGIA,ACFI15,Il tessuto nervoso è costituito da,neuroni,dendrite pirenoforo neurite,neuroni e nevroglia,dendrite pirenoforo assone,neuroni e nevroglia
ALTRI TEST - FISIOLOGIA,ACFI16,Individua la risposta corretta:,la quantità di fluido assorbita giornalmente a livello del tratto gi è di circa 18/19 litri di cui la maggior parte è assorbita nel tenue,Villi intestinali: protrudono dalle valvulae conniventes aumentando la superficie di assorbimento di 100 volte,Gli enzimi pancreatici trasformano l'amido alimentare in una miscela di zuccheri semplici,Il pancreas è una ghiandola piccola corta e arrotondata situata verticalmente nella parte superiore e posteriore della cavità addominale,Gli enzimi pancreatici trasformano l'amido alimentare in una miscela di zuccheri semplici
ALTRI TEST - FISIOLOGIA,ACFI17,Individua la risposta corretta:,le malattie dell'apparato respiratorio non possono essere di origine patogena,le malattie dell'apparato respiratorio di origine patogena sono polmoniti tubercolosi e sinovite,la tracheite è malattia dell'apparato respiratorio di origine patogena,la polmonite non è un processo infiammatorio,la tracheite è malattia dell'apparato respiratorio di origine patogena
ALTRI TEST - FISIOLOGIA,ACFI18,Intorno al cuore c'è un campo elettrico che è:,40 volte il segnale elettrico del cervello,60 volte il segnale elettrico del cervello,100 volte il segnale elettrico del cervello,,60 volte il segnale elettrico del cervello
ALTRI TEST - FISIOLOGIA,ACFI19,L'apparato respiratorio ha come tipi di cellule:,un solo tipo di cellule,più tipologie di cellule,solo due tipi di cellule,,più tipologie di cellule
ALTRI TEST - FISIOLOGIA,ACFI20,L'epitelio alveolare è:,pluristratificato,con nessuna determinazione istologica,Pavimentoso semplice,,Pavimentoso semplice
ALTRI TEST - FISIOLOGIA,ACFI21,L'epitelio respiratorio è:,solo pseudostratificato,solo cilindrico,pseudostratificato cilindrico e ciliato,,pseudostratificato cilindrico e ciliato
ALTRI TEST - FISIOLOGIA,ACFI22,L'invasività di un agente patogeno è:,La capacità di diffondersi e invadere un organismo,La capacità di produrre tossine,La capacità di passare da un organismo all'altro,,La capacità di diffondersi e invadere un organismo
ALTRI TEST - FISIOLOGIA,ACFI23,L'ipertensione può essere di due tipi:,anticipante posticipante,primaria secondaria,primitiva moderna,senile giovanile,primaria secondaria
ALTRI TEST - FISIOLOGIA,ACFI24,La asbestosi:,non rientra tra le malattie ambientali dell'apparato respiratorio,è un sinonimo di silicosi,è un sinonimo di pneumoconiosi,è una malattia polmonare cronica provocata da inalazione delle fibre di asbesto,è una malattia polmonare cronica provocata da inalazione delle fibre di asbesto
ALTRI TEST - FISIOLOGIA,ACFI25,la bile:,Emulsionano piccole particelle di grasso in grosse particelle che possono dissociarsi dalle lipasi biliari,inibisce il trasporto e l'assorbimento dei grassi a livello della mucosa intestinale,ha una funzione fondamentale nel metabolismo dei grassi grazie alla sua composizione in acidi,non viene secreta all'interno dell'apparato digerente,ha una funzione fondamentale nel metabolismo dei grassi grazie alla sua composizione in acidi
ALTRI TEST - FISIOLOGIA,ACFI26,La fase finale dell'impulso nervoso è,Ritorno al potenziale di inizio,Depolarizzazione,Iperpolarizzazione,,Iperpolarizzazione
ALTRI TEST - FISIOLOGIA,ACFI27,la fibrillazione ventricolare è:,un'aritmia cardiaca caratterizzata da un aumento della frequenza,una grave aritmia che interessa i ventricoli,un'alterazione del ritmo cardiaco che ha origine a livello atriale,una alterazione anatomica del miocardio a livello dei ventricoli,una grave aritmia che interessa i ventricoli
ALTRI TEST - FISIOLOGIA,ACFI28,la fisiologia:,è una materia che si occupa di descrivere le parti anatomiche del corpo umano,è una scienza esatta,è lo studio degli organismi viventi complessi,è lo studio della cellula,è lo studio degli organismi viventi complessi
ALTRI TEST - FISIOLOGIA,ACFI29,la frequenza cardiaca conta:,il numero di battiti al minuto,il numero di battiti al secondo,il numero di battiti all'ora,,il numero di battiti al minuto
ALTRI TEST - FISIOLOGIA,ACFI30,La funzione della porzione di conduzione delle vie aeree è:,solo filtrare l'aria,solo riscaldare l'aria,filtrare riscaldare e umidificare l'aria,,filtrare riscaldare e umidificare l'aria
ALTRI TEST - FISIOLOGIA,ACFI31,La funzione principale del linfonodo è,immagazzinare la linfa,depurare e purificare la linfa,aspirare la linfa dall'interstizio e dai vasi linfatici,aiutare i vasi linfatici a spingere la linfa verso il centro (cuore),depurare e purificare la linfa
ALTRI TEST - FISIOLOGIA,ACFI32,La pelle e la mucosa intestinale insieme rappresentano:,parti con nessuna funzione,organi di difesa e protezione,nessuna delle precedenti,,organi di difesa e protezione
ALTRI TEST - FISIOLOGIA,ACFI33,la più grande ghiandola dell'organismo è:,il fegato,il pancreas,la tiroide,,il fegato
ALTRI TEST - FISIOLOGIA,ACFI34,La porzione respiratoria dell'apparato respiratorio ha come funzione:,lo scambio gassoso,il mantenimento di gradienti elettricità,nessuna delle precedenti,,lo scambio gassoso
ALTRI TEST - FISIOLOGIA,ACFI35,la pressione arteriosa dipende interamente da quali tra i seguenti gruppi di fattori:,gittata diastolica resistenze periferiche volemia frequenza cardiaca,elasticità dell'aorta e grandi arterie gittata sistolica saturazione dell'ossigeno,elasticità delle arterie polmonari velocità della valvola mitrale e tricuspide,gittata sistolica volemia resistenze periferiche elasticità dell'aorta e delle grandi arterie,gittata sistolica volemia resistenze periferiche elasticità dell'aorta e delle grandi arterie
ALTRI TEST - FISIOLOGIA,ACFI36,La sinapsi può essere:,Solo chimica,Solo elettrica,Sia chimica che elettrica,,Sia chimica che elettrica
ALTRI TEST - FISIOLOGIA,ACFI37,La sommazione di impulsi nervosi:,Può essere solo di natura eccitatoria,Può essere solo di natura inibitoria,Può essere sia di natura eccitatoria che inibitoria,,Può essere sia di natura eccitatoria che inibitoria
ALTRI TEST - FISIOLOGIA,ACFI38,La TAC:,è il test più comune per valutare la funzionalità polmonare,tecnica diagnostica che sfrutta le radiazioni ionizzanti (o raggi X),è specificatamente indicata alle diagnosi delle patologie dell'apparato muscolo-scheletrico,la broncoscopia è un'indagine strumentale mirata all'esplorazione visiva delle vie aeree di calibro maggiore,tecnica diagnostica che sfrutta le radiazioni ionizzanti (o raggi X)
ALTRI TEST - FISIOLOGIA,ACFI39,Le cellule umane sono recettive a:,basse frequenze da 0.1 a 1000 hertz,alte frequenze oltre 1000 hertz,nessuna delle precedenti,,basse frequenze da 0.1 a 1000 hertz
ALTRI TEST - FISIOLOGIA,ACFI40,le fibre del cuore sono capaci di:,andare solo in apoptosi,autoeccitarsi,nessuna delle precedenti,,autoeccitarsi
ALTRI TEST - FISIOLOGIA,ACFI41,Le sinapsi possono essere:,Solo eccitatorie,Solo inibitorie,Sia eccitatorie che inibitorie,,Sia eccitatorie che inibitorie
ALTRI TEST - FISIOLOGIA,ACFI42,Nel processo di differenziazione le cellule:,Sono ancora capaci di riprodursi,Divengono ancora una volta staminali,Assumono una forma e una funzione perdendo la capacità di riprodursi,,Assumono una forma e una funzione perdendo la capacità di riprodursi
ALTRI TEST - FISIOLOGIA,ACFI43,Quanti tipi di circolazione abbiamo?,1,2,4,,2
ALTRI TEST - FISIOLOGIA,ACFI44,Tutte le cellule hanno un potenziale di membrana,−70 mV,#ERROR!,−100 mV,,−70 mV
ALTRI TEST - FISIOLOGIA,ACFI45,Un impulso senza decremento è:,Il potenziale di membrana,Il potenziale di placca,Il potenziale di azione,,Il potenziale di azione
ALTRI TEST - IDROCOLONTERAPIA,,a quale temperatura dell'acqua si effettua solitamente idrocolon,da 36 a 38 gradi,da 20 a 25,da 45 in su,,da 36 a 38 gradi
ALTRI TEST - IDROCOLONTERAPIA,ACID1,cosa è la colonscopia,esame diagnostico per esplorare le pareti interne dell'intestino,pulizia del tratto intestinale interessato,sinonimo di idrocolonterapia,,esame diagnostico per esplorare le pareti interne dell'intestino
ALTRI TEST - IDROCOLONTERAPIA,ACID2,l'anamnesi del paziente si effettua,prima della terapia,durante la terapia,dopo la terapia,,prima della terapia
ALTRI TEST - IDROCOLONTERAPIA,ACID3,L'idrocolonterapia può essere svolta da:,terapisti MCB e personale medico,personale ostetrico e infermieristico,entrambe le risposte,,entrambe le risposte
ALTRI TEST - IDROCOLONTERAPIA,ACID4,per l'idrocolonterapia si utilizza,materiali ed accessori monouso,materiali ed elementi lavabili e riutilizzabili,nessuna delle precedenti,,materiali ed accessori monouso
ALTRI TEST - IDROCOLONTERAPIA,ACID5,quanto può durare una seduta di idrocolon,15 minuti,3 ore,da 45 minuti ad un'ora,,da 45 minuti ad un'ora
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG1,A cosa bisogna stare attenti quando si usa un disinfettante?,Concentrazione,Tempo di contatto,Temperatura,Tutte le precedenti,Tutte le precedenti
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG2,Cosa si intende per stato di salute?,La sensazione soggettiva di piena efficienza,L'assenza di malattia,Completo benessere etc. (fisico mentale e sociale - definizione OMS),,Completo benessere etc. (fisico mentale e sociale - definizione OMS)
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG3,Gli strumenti della pratica di un idromasso terapista sono:,Articoli critici,Articoli semi critici,Articoli non critici,,Articoli non critici
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG4,I sanitari che si devono sottoporre a tampone covid-19 ogni 14 giorno indipendentemente dallo stato di salute:,Sono sottoposti a un isolamento,Contumacia,Quarantena,Sorveglianza sanitaria,Sorveglianza sanitaria
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG5,In più rispetto all'igienizzazione con la sterilizzazione eliminiamo anche,Batteri,Spore,Virus,Parassiti,Spore
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG6,L'igienizzazione è composta da quali fasi,Detersione risciacquo,Disinfezione risciacquo,Detersione disinfezione,Pulizia detersione risciacquo,Detersione disinfezione
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG7,la salute è,assenza di malattia,uno stato di benessere fisico psichico e sociale,uno stato di benessere psicofisico,assenza di malattia o infermità,uno stato di benessere fisico psichico e sociale
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG8,qual è il ruolo del Professionista sanitario nei confronti del paziente,deve assicurare il ripristino dello stato di salute,è il responsabile dello stato di salute del paziente,è un aiuto/sostegno al recupero dello stato di equilibrio psicofisico del paziente,è corresponsabile al 50% della salute del paziente e non ha nessun tipo di ruolo o responsabilità nei confronti del paziente,è un aiuto/sostegno al recupero dello stato di equilibrio psicofisico del paziente
ALTRI TEST - IGIENE PREVENZIONE E SANIFICAZIONE,ACIG9,Quale parola non è un sinonimo di igienizzazione?,Sanificazione,Disinfezione,Sanitizzazione,Detersione,Detersione
ALTRI TEST - ISTOLOGIA,ACIS1,Durante la contrazione muscolare lo scorrimento delle fibrocellule è dato da,l'accorciamento delle fibre di actina e miosina,dallo scorrimento dell'actina sulla miosina,dallo scorrimento dell'actina sulla miosina,entrambe le fibre di actina e miosina scorrono,dallo scorrimento dell'actina sulla miosina
ALTRI TEST - ISTOLOGIA,ACIS2,il lasso fa parte del,tessuto connettivo,tessuto connettivo propriamente detto,tessuto di sostegno,tessuto adiposo,tessuto connettivo propriamente detto
ALTRI TEST - ISTOLOGIA,ACIS3,Il tessuto cartilagineo è costituito da cellule denominate,dendritiche,fibrociti,condrociti,melanociti,condrociti
ALTRI TEST - ISTOLOGIA,ACIS4,Lo strato corneo in che tessuto si trova,epidermide,derma,ipoderma,in nessuno dei tessuti sopra menzionati,epidermide
ALTRI TEST - ISTOLOGIA,ACIS5,Se parliamo di tessuto elastico cosa può costituire,tendini,fascia,legamenti,epidermide,legamenti
ALTRI TEST - KINESIOLOGIA,ACKI1,A quanti meridiani fa riferimento la Kinesiologia di base,14,,,,14
ALTRI TEST - KINESIOLOGIA,ACKI2,Ci sono parametri fondamentali da rispettare quando eseguo il test? Quali?,si hanno aspettative sulle risposte muscolari,si cercano conferme al test,si cercano risposte senza giudizio e senza aspettative cercando le debolezze,,si cercano risposte senza giudizio e senza aspettative cercando le debolezze
